date,decision_byd_weight,decision_etf_weight,decision_cash_weight,position_byd_weight,position_etf_weight,position_cash_weight,common_open_eligible,byd_return,etf_return,gross_return,turnover_units,cost,financing_cost,borrowed_weight,net_return
2020-05-27,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.03775163,0.00636267,-0.02672306,0.00000000,0.00000000,0.00000000,0.00000000,-0.02672306
2020-05-28,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.00401038,0.00000005,-0.00300777,0.00000000,0.00000000,0.00000000,0.00000000,-0.00300777
2020-05-29,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.01102931,0.00210745,0.00879885,0.00000000,0.00000000,0.00000000,0.00000000,0.00879885
2020-06-01,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.03151518,0.01366975,0.02705382,0.00000000,0.00000000,0.00000000,0.00000000,0.02705382
2020-06-02,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.02047992,0.00311205,0.01613795,0.00000000,0.00000000,0.00000000,0.00000000,0.01613795
2020-06-03,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.00509924,0.00310242,-0.00304882,0.00000000,0.00000000,0.00000000,0.00000000,-0.00304882
2020-06-04,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.00859777,-0.00206184,0.00593287,0.00000000,0.00000000,0.00000000,0.00000000,0.00593287
2020-06-05,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.03278690,-0.00000007,0.02459016,0.00000000,0.00000000,0.00000000,0.00000000,0.02459016
2020-06-08,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.00000012,0.00103310,0.00025818,0.00000000,0.00000000,0.00000000,0.00000000,0.00025818
2020-06-09,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01174599,0.00309598,-0.00803550,0.00000000,0.00000000,0.00000000,0.00000000,-0.00803550
2020-06-10,1.00000000,0.00000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.00626400,-0.00102873,-0.00495518,0.00000000,0.00000000,0.00000000,0.00000000,-0.00495518
2020-06-11,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00759676,-0.01132857,-0.00759676,0.50000000,0.00100000,0.00000000,0.00000000,-0.00859676
2020-06-12,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.01791545,0.00208335,0.01791545,0.00000000,0.00000000,0.00000000,0.00000000,0.01791545
2020-06-15,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.02080004,-0.00415806,0.02080004,0.00000000,0.00000000,0.00000000,0.00000000,0.02080004
2020-06-16,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.00313472,0.01252613,0.00313472,0.00000000,0.00000000,0.00000000,0.00000000,0.00313472
