fold,factor_id,observations,mean_rank_ic,median_rank_ic,positive_share
f4,risk_adjusted_momentum_20,100,0.09271409277353891,0.11507936507936507,0.69
f4,risk_adjusted_momentum_60,100,-0.01812698412698413,-0.05555555555555555,0.42
f4,risk_adjusted_momentum_120,100,-0.05814945054945055,-0.07905982905982906,0.32
f4,trend_efficiency_60,100,-0.017338217338217346,-0.06013431013431013,0.41
f4,trend_efficiency_120,100,-0.05188937728937728,-0.06868131868131867,0.31
f4,residual_momentum_60,100,-0.04498974358974359,-0.06837606837606837,0.36
f4,residual_momentum_120,100,-0.07465250305250304,-0.10103785103785104,0.27
f4,low_beta_60,100,-0.1388808302808303,-0.23443223443223443,0.26
f4,low_market_correlation_60,100,0.02055091575091575,0.039987789987789985,0.61
f4,low_volatility_60,100,-0.21440781440781442,-0.2793040293040293,0.22
f4,drawdown_60,100,0.000152578823050194,-0.00396007519379357,0.5
f4,drawdown_120,100,-0.06884699438866314,-0.09462759462759462,0.41
f4,volatility_contraction_20_60,100,-0.010554334554334554,0.047619047619047616,0.6
f4,positive_day_share_60,100,-0.035302354522004115,-0.03790053488067047,0.4
f5,short_term_reversal_5,100,0.024041514041514035,0.013431013431013428,0.51
f5,trend_20,100,-0.000665445665445668,0.03540903540903541,0.51
f5,trend_60,100,-0.06396214896214895,-0.016788766788766788,0.49
f5,trend_120,100,0.005805860805860803,0.022588522588522588,0.57
f5,risk_adjusted_momentum_20,100,0.05252136752136752,0.034188034188034185,0.53
f5,risk_adjusted_momentum_60,100,-0.04787545787545786,-0.06623931623931623,0.39
f5,risk_adjusted_momentum_120,100,0.05249694749694753,0.021062271062271064,0.55
f5,trend_efficiency_60,100,-0.04756410256410255,-0.05647130647130647,0.43
f5,trend_efficiency_120,100,0.05625152625152627,0.024420024420024417,0.57
f5,residual_momentum_60,100,-0.07366910866910865,-0.061660561660561664,0.41
f5,residual_momentum_120,100,0.04010989010989009,0.017704517704517704,0.56
f5,low_beta_60,100,0.013821733821733816,0.06501831501831501,0.62
f5,low_market_correlation_60,100,-0.012210012210012213,-0.03815628815628816,0.35
f5,low_volatility_60,100,-0.04616605616605615,-0.01984126984126984,0.47
f5,drawdown_60,100,-0.10885513393602242,-0.17190684354312624,0.38
f5,drawdown_120,100,-0.08351140734731509,-0.10707218312972833,0.44
f5,volatility_contraction_20_60,100,0.11433455433455433,0.10164835164835165,0.65
f5,positive_day_share_60,100,0.06092936474600274,0.09197911624499602,0.73
f6,short_term_reversal_5,100,0.0021306471306471305,0.001831501831501831,0.5
f6,trend_20,100,-0.016996336996336993,0.016483516483516484,0.54
f6,trend_60,100,-0.03833333333333334,-0.005189255189255188,0.48
f6,trend_120,100,-0.022466422466422463,0.0463980463980464,0.56
f6,risk_adjusted_momentum_20,100,-0.04457264957264957,-0.056776556776556776,0.48
f6,risk_adjusted_momentum_60,100,0.004859584859584859,0.07142857142857142,0.58
f6,risk_adjusted_momentum_120,100,-0.0026984126984127012,0.042735042735042736,0.56
f6,trend_efficiency_60,100,0.003229548229548229,0.08577533577533578,0.58
f6,trend_efficiency_120,100,-0.006965811965811961,0.028998778998778993,0.54
f6,residual_momentum_60,100,0.004304029304029312,0.047619047619047616,0.59
f6,residual_momentum_120,100,0.012350427350427351,0.028693528693528696,0.53
f6,low_beta_60,100,-0.05882783882783883,-0.1572039072039072,0.33
f6,low_market_correlation_60,100,-0.0971306471306471,-0.14346764346764346,0.29
f6,low_volatility_60,100,-0.009749694749694749,-0.16971916971916967,0.35
f6,drawdown_60,100,-0.04896204022737496,-0.10347985347985347,0.46
f6,drawdown_120,100,-0.028504568812514144,-0.02625152625152625,0.47
f6,volatility_contraction_20_60,100,-0.0707020757020757,-0.053418803418803416,0.36
f6,positive_day_share_60,100,-0.03745302464671941,0.01492007121089644,0.52
