date,volume,session_status,secondary_status,secondary_open_return_difference,open_research_eligible
2020-11-17,11314400.000000000000,traded,common,0.000000016367,True
2020-11-18,12725600.000000000000,traded,common,0.000000076327,True
2020-11-19,17853600.000000000000,traded,common,0.000000066132,True
2020-11-20,11135769.000000000000,traded,common,0.000000013917,True
2020-11-23,17209300.000000000000,traded,common,0.000000014108,True
2020-11-24,17675200.000000000000,traded,common,0.000000049653,True
2020-11-25,11165600.000000000000,traded,common,0.000000017535,True
2020-11-26,12676800.000000000000,traded,common,0.000000048823,True
2020-11-27,9971400.000000000000,traded,common,0.000000065535,True
2020-11-30,14097000.000000000000,traded,common,0.000000013696,True
2020-12-01,10852363.000000000000,traded,common,0.000000008433,True
2020-12-02,6309400.000000000000,traded,common,0.000000092872,True
2020-12-03,9475838.000000000000,traded,common,0.000000061385,True
2020-12-04,9485158.000000000000,traded,common,0.000000004116,True
2020-12-07,10138200.000000000000,traded,common,0.000000021969,True
2020-12-08,7153300.000000000000,traded,common,0.001700694064,True
2020-12-09,7429700.000000000000,traded,common,0.001694774460,True
2020-12-10,9471400.000000000000,traded,common,0.000000009957,True
2020-12-11,15332300.000000000000,traded,common,0.000000022459,True
2020-12-14,18304800.000000000000,traded,common,0.006974659929,True
2020-12-15,14169400.000000000000,traded,common,0.007023505573,True
2020-12-16,5379700.000000000000,traded,common,0.000000018650,True
2020-12-17,14336600.000000000000,traded,common,0.000000045832,True
2020-12-18,9791900.000000000000,traded,common,0.000000008774,True
2020-12-21,12609900.000000000000,traded,common,0.000000018551,True
2020-12-22,13058752.000000000000,traded,common,0.000000022832,True
2020-12-23,10782700.000000000000,traded,common,0.000000065377,True
2020-12-24,14211700.000000000000,traded,common,0.000000065191,True
2020-12-25,12881700.000000000000,traded,common,0.005405373477,True
2020-12-28,18566000.000000000000,traded,common,0.005489154281,True
2020-12-29,9346700.000000000000,traded,common,0.000000014830,True
2020-12-30,6586800.000000000000,traded,common,0.000000050744,True
2020-12-31,9733200.000000000000,traded,common,0.000000019194,True
2021-01-04,14599400.000000000000,traded,common,0.000000014615,True
2021-01-05,17694649.000000000000,traded,common,0.000000046837,True
2021-01-06,10461653.000000000000,traded,common,0.000000000000,True
2021-01-07,11669664.000000000000,traded,common,0.000000046499,True
2021-01-08,9959100.000000000000,traded,common,0.000000027139,True
2021-01-11,14188756.000000000000,traded,common,0.000000061423,True
2021-01-12,14025600.000000000000,traded,common,0.000000075352,True
2021-01-13,11877478.000000000000,traded,common,0.000000081179,True
2021-01-14,9298676.000000000000,traded,common,0.002719873852,True
2021-01-15,12316449.000000000000,traded,common,0.002712418140,True
2021-01-18,16320950.000000000000,traded,common,0.000000014760,True
2021-01-19,13384700.000000000000,traded,common,0.000000008787,True
2021-01-20,13006700.000000000000,traded,common,0.000000004315,True
2021-01-21,16760920.000000000000,traded,common,0.000000018721,True
2021-01-22,16116500.000000000000,traded,common,0.000000012612,True
2021-01-25,20794100.000000000000,traded,common,0.000000016373,True
2021-01-26,14587942.000000000000,traded,common,0.000000031621,True
2021-01-27,10747925.000000000000,traded,common,0.000000032315,True
2021-01-28,23378400.000000000000,traded,common,0.000000000000,True
2021-01-29,94965300.000000000000,traded,common,0.000000014502,True
2021-02-01,20250831.000000000000,traded,common,0.000000077265,True
2021-02-02,12011200.000000000000,traded,common,0.000000012855,True
2021-02-03,11662200.000000000000,traded,common,0.000000086392,True
2021-02-04,30652900.000000000000,traded,common,0.001843394932,True
2021-02-05,30753100.000000000000,traded,common,0.001851799906,True
2021-02-08,18213779.000000000000,traded,common,0.000000043791,True
2021-02-09,10687418.000000000000,traded,common,0.000000034738,True
2021-02-10,11093272.000000000000,traded,common,0.000000013797,True
2021-02-18,93314900.000000000000,traded,common,0.000000022370,True
2021-02-19,24722600.000000000000,traded,common,0.000000004276,True
2021-02-22,36666800.000000000000,traded,common,0.000000002543,True
2021-02-23,20084600.000000000000,traded,common,0.000000014078,True
2021-02-24,14914679.000000000000,traded,common,0.000000054125,True
2021-02-25,15551600.000000000000,traded,common,0.000000007905,True
2021-02-26,13042000.000000000000,traded,common,0.000000077878,True
2021-03-01,12833882.000000000000,traded,common,0.000000045780,True
2021-03-02,44504294.000000000000,traded,common,0.000000020352,True
2021-03-03,82885600.000000000000,traded,common,0.000000008385,True
2021-03-04,20343272.000000000000,traded,common,0.000000039576,True
2021-03-05,14594421.000000000000,traded,common,0.000000019923,True
2021-03-08,15402800.000000000000,traded,common,0.000000012066,True
2021-03-09,15803966.000000000000,traded,common,0.000000011755,True
2021-03-10,17610500.000000000000,traded,common,0.000000067458,True
2021-03-11,20609300.000000000000,traded,common,0.000000018383,True
2021-03-12,26870700.000000000000,traded,common,0.000000024145,True
2021-03-15,31538607.000000000000,traded,common,0.000000008593,True
2021-03-16,15338500.000000000000,traded,common,0.000000017949,True
2021-03-17,20002900.000000000000,traded,common,0.000000026435,True
2021-03-18,21552400.000000000000,traded,common,0.000000057603,True
2021-03-19,15936563.000000000000,traded,common,0.000000061917,True
2021-03-22,15246100.000000000000,traded,common,0.000000053648,True
2021-03-23,28814800.000000000000,traded,common,0.000000068659,True
2021-03-24,31295800.000000000000,traded,common,0.000000088633,True
2021-03-25,8570800.000000000000,traded,common,0.000000051913,True
2021-03-26,12169233.000000000000,traded,common,0.000000036543,True
2021-03-29,25445972.000000000000,traded,common,0.006129603596,True
2021-03-30,8016714.000000000000,traded,common,0.006081608415,True
2021-03-31,7308800.000000000000,traded,common,0.000000098705,True
