,model,cost_bps,window,sessions,years,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,turnover_units,round_trips_per_year,mean_byd_weight,mean_etf_weight
10,fixed_75_25,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.061080482342,0.039886180630,0.270360613493,0.278646636926,-0.342168386237,0.116568865608,0.000000000000,0.000000000000,0.750000000000,0.250000000000
11,fixed_75_25,20.000000000000,full_overlap,1609.000000000000,6.384920634921,4.321147060836,0.299290404658,0.356604638698,0.911430564915,-0.414021898773,0.722885445300,2.000000000000,0.156619018024,0.746737103791,0.248912367930
12,byd_v1_cash,20.000000000000,development,743.000000000000,2.948412698413,4.336358263224,0.764641301330,0.524674468138,1.344252991957,-0.433017065505,1.765845649614,4.500000000000,0.763122476447,0.909825033647,0.000000000000
13,byd_v1_cash,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.114393651895,0.058013446456,0.303831451741,0.334849851351,-0.416509889252,0.139284679554,5.500000000000,1.431818181818,0.891012396694,0.000000000000
14,byd_v1_cash,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.065099156585,0.042482618689,0.317794330864,0.287743396483,-0.379189278610,0.112035389937,3.000000000000,0.989528795812,0.854712041885,0.000000000000
15,byd_v1_cash,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.333935682755,0.335233868211,0.423356006102,0.892872631357,-0.489782408991,0.684454692649,13.000000000000,1.018023617154,0.891081417029,0.000000000000
16,v1_dividend_75_25,20.000000000000,development,743.000000000000,2.948412698413,4.440453361733,0.776241762475,0.527254277646,1.352690500128,-0.422190155696,1.838606968925,5.000000000000,0.847913862719,0.909825033647,0.080753701211
17,v1_dividend_75_25,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.145043144385,0.073065551380,0.307218630946,0.380477806989,-0.413411099647,0.176738242981,5.500000000000,1.431818181818,0.891012396694,0.108987603306
18,v1_dividend_75_25,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.094483015422,0.061367146723,0.322609143313,0.343874820867,-0.372917723329,0.164559480238,3.000000000000,0.989528795812,0.854712041885,0.145287958115
19,v1_dividend_75_25,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.818140854239,0.350728132889,0.426411984243,0.916589355704,-0.487391788980,0.719602054894,13.500000000000,1.057178371659,0.891081417029,0.104568054692
20,recovery_75_25,20.000000000000,development,743.000000000000,2.948412698413,4.466537688799,0.779125605535,0.533529241248,1.346018300942,-0.433801217007,1.796042922403,11.000000000000,1.865410497981,0.930349932705,0.060228802153
21,recovery_75_25,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.128846219964,0.065135567385,0.311877324978,0.355642510057,-0.421447463822,0.154552044978,7.500000000000,1.952479338843,0.905475206612,0.094524793388
22,recovery_75_25,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.084528143044,0.054988862725,0.328439996417,0.324925279484,-0.378621351386,0.145234447353,5.000000000000,1.649214659686,0.867801047120,0.132198952880
23,recovery_75_25,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.692493467980,0.346798968075,0.432066954288,0.903383440726,-0.500692880118,0.692638105806,23.500000000000,1.840273461778,0.908017402113,0.087632069608
24,recovery_50_50,20.000000000000,development,743.000000000000,2.948412698413,4.231829088516,0.752840997240,0.519149437364,1.340087216346,-0.402343498051,1.871139960972,20.000000000000,3.391655450875,0.870121130552,0.120457604307
25,recovery_50_50,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.130269852316,0.065834752100,0.295587316209,0.360731164214,-0.384619966092,0.171168316529,15.000000000000,3.904958677686,0.810950413223,0.189049586777
26,recovery_50_50,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.133802527890,0.086369503577,0.314763616036,0.418227920266,-0.325112669171,0.265660221110,10.000000000000,3.298429319372,0.735602094241,0.264397905759
27,recovery_50_50,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.704603708476,0.347180368290,0.417840435856,0.920421983744,-0.472615678312,0.734593421721,45.000000000000,3.523927905531,0.820385332505,0.175264139217
28,binary_100_0,20.000000000000,development,743.000000000000,2.948412698413,3.651359407163,0.684302526643,0.509588642738,1.277179813193,-0.368886909715,1.855046922566,38.000000000000,6.444145356662,0.749663526245,0.240915208614
29,binary_100_0,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.117378814369,0.059488124340,0.286628001405,0.342077536942,-0.346378432065,0.171743153826,30.000000000000,7.809917355372,0.621900826446,0.378099173554
30,binary_100_0,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.226981031312,0.144471739249,0.307429518262,0.590352817448,-0.221146031552,0.653286600874,20.000000000000,6.596858638743,0.471204188482,0.528795811518
31,binary_100_0,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.377025887362,0.336652482244,0.409063194551,0.912143429110,-0.452023923067,0.744766958260,88.000000000000,6.891236793039,0.645121193288,0.350528278434
32,byd100,40.000000000000,development,743.000000000000,2.948412698413,4.633414236813,0.797363377736,0.553680996640,1.335097400012,-0.465521057375,1.712840622575,2.000000000000,0.339165545087,0.990578734859,0.000000000000
33,byd100,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.122175019269,0.061853512952,0.334695965939,0.344211237633,-0.458190141377,0.134995294237,0.000000000000,0.000000000000,1.000000000000,0.000000000000
34,byd100,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.033981250481,0.022289261996,0.347869110819,0.235128616495,-0.429396763464,0.051908313925,0.000000000000,0.000000000000,1.000000000000,0.000000000000
35,byd100,40.000000000000,full_overlap,1609.000000000000,6.384920634921,5.536495210161,0.341833174936,0.452099403815,0.874648940718,-0.530363819305,0.644525818869,2.000000000000,0.156619018024,0.995649471722,0.000000000000
36,etf100,40.000000000000,development,743.000000000000,2.948412698413,0.355053621376,0.108549503728,0.198448948288,0.619331470270,-0.182278008747,0.595516181435,2.000000000000,0.339165545087,0.000000000000,0.990578734859
37,etf100,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.250721154112,0.123537819780,0.205530501821,0.667209483802,-0.147079548169,0.839938803986,0.000000000000,0.000000000000,0.000000000000,1.000000000000
38,etf100,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.075396572891,0.049120542524,0.126416469278,0.442650826300,-0.145539906953,0.337505661178,0.000000000000,0.000000000000,0.000000000000,1.000000000000
39,etf100,40.000000000000,full_overlap,1609.000000000000,6.384920634921,0.822575905850,0.098571496268,0.186254559867,0.597519712023,-0.182278008747,0.540775582012,2.000000000000,0.156619018024,0.000000000000,0.995649471722
40,fixed_75_25,40.000000000000,development,743.000000000000,2.948412698413,3.259241930150,0.634736786630,0.432709068158,1.352271091770,-0.354900581105,1.788491821155,2.000000000000,0.339165545087,0.742934051144,0.247644683715
41,fixed_75_25,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.172755087047,0.086509595515,0.277150248861,0.435458961349,-0.359777780559,0.240452857819,0.000000000000,0.000000000000,0.750000000000,0.250000000000
42,fixed_75_25,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.061080482342,0.039886180630,0.270360613493,0.278646636926,-0.342168386237,0.116568865608,0.000000000000,0.000000000000,0.750000000000,0.250000000000
43,fixed_75_25,40.000000000000,full_overlap,1609.000000000000,6.384920634921,4.300147559754,0.298485993037,0.356586565570,0.909719890064,-0.414021898773,0.720942524832,2.000000000000,0.156619018024,0.746737103791,0.248912367930
44,byd_v1_cash,40.000000000000,development,743.000000000000,2.948412698413,4.288561119123,0.759264612179,0.524688061758,1.338400441854,-0.433591928866,1.751104118025,4.500000000000,0.763122476447,0.909825033647,0.000000000000
45,byd_v1_cash,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.102183630809,0.051961859339,0.303863159718,0.315966712823,-0.421740860136,0.123208027134,5.500000000000,1.431818181818,0.891012396694,0.000000000000
46,byd_v1_cash,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.058738260110,0.038371343260,0.317776575472,0.275303819460,-0.381051633281,0.100698540326,3.000000000000,0.989528795812,0.854712041885,0.000000000000
47,byd_v1_cash,40.000000000000,full_overlap,1609.000000000000,6.384920634921,5.171348787510,0.329806813820,0.423370133961,0.883224551535,-0.495372223740,0.665775750062,13.000000000000,1.018023617154,0.891081417029,0.000000000000
48,v1_dividend_75_25,40.000000000000,development,743.000000000000,2.948412698413,4.386381900906,0.770234473129,0.527264133568,1.346232660033,-0.422776388895,1.821848365613,5.000000000000,0.847913862719,0.909825033647,0.080753701211
49,v1_dividend_75_25,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.132499411757,0.066928901929,0.307248087578,0.361800781634,-0.418668770954,0.159861223411,5.500000000000,1.431818181818,0.891012396694,0.108987603306
