attribution_type,date,window,evaluation,instrument,entity,sector,state,value,gross_return,weight,periods,transaction_cost
position,2024-10-30,2024H2,historical,002456,欧菲光,Technology,risk_on,-0.02133332432,-0.08333329729,0.25,,
position,2024-10-30,2024H2,historical,600184,光电股份,Industrials,risk_on,-0.01852779989,-0.07211119958,0.25,,
position,2024-10-30,2024H2,historical,603260,合盛硅业,Materials,risk_on,0.001978216748,0.009912866992,0.25,,
position,2024-11-13,2024H2,historical,002460,赣锋锂业,Materials,risk_on,-0.004252134628,-0.01500853851,0.25,,
position,2024-11-13,2024H2,historical,600760,中航沈飞,Industrials,risk_on,-0.01649999405,-0.06399997618,0.25,,
position,2024-11-13,2024H2,historical,600809,山西汾酒,Consumer Staples,risk_on,-0.02364860564,-0.09259442257,0.25,,
position,2024-11-13,2024H2,historical,688521,芯原股份,Technology,risk_on,-0.02391167169,-0.09364668674,0.25,,
position,2024-11-27,2024H2,historical,000938,紫光股份,Technology,risk_on,0.002725822703,0.01290329081,0.25,,
position,2024-11-27,2024H2,historical,002709,天赐材料,Materials,risk_on,-0.02190481621,-0.08561926482,0.25,,
position,2024-11-27,2024H2,historical,002837,英维克,Industrials,risk_on,-0.01454365066,-0.05617460262,0.25,,
position,2024-11-27,2024H2,historical,600030,中信证券,Financials,risk_on,0.01444231954,0.05976927815,0.25,,
position,2024-12-11,2024H2,historical,002837,英维克,Industrials,risk_on,0.04659991035,0.1878996414,0.25,,
position,2024-12-11,2024H2,historical,600019,宝钢股份,Materials,risk_on,0.003494965328,0.01547986131,0.25,,
position,2024-12-11,2024H2,historical,601698,中国卫通,Communication Services,risk_on,-0.01777191571,-0.06958766286,0.25,,
position,2024-12-11,2024H2,historical,688521,芯原股份,Technology,risk_on,0.0553418671,0.2228674684,0.25,,
position,2024-12-25,2024H2,historical,300133,华策影视,Communication Services,risk_on,-0.03626203773,-0.1430481509,0.25,,
position,2024-12-25,2024H2,historical,600900,长江电力,Utilities,risk_on,-0.00433491681,-0.01533966724,0.25,,
position,2024-12-25,2024H2,historical,603986,兆易创新,Technology,risk_on,0.01146401106,0.04785604423,0.25,,
position,2024-12-25,2024H2,historical,688676,金盘科技,Industrials,risk_on,-0.03489340427,-0.1375736171,0.25,,
position,2025-01-02,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.007848040584,0.009848040584,1,,
position,2025-01-16,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.02327151406,0.02327151406,1,,
position,2025-02-07,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.01759906125,0.01759906125,1,,
position,2025-02-21,2025H1,historical,000001,平安银行,Financials,risk_on,-0.0005,0,0.25,,
position,2025-02-21,2025H1,historical,002352,顺丰控股,Industrials,risk_on,0.003167330525,0.0146693221,0.25,,
position,2025-02-21,2025H1,historical,600519,贵州茅台,Consumer Staples,risk_on,0.006908251682,0.02963300673,0.25,,
position,2025-02-21,2025H1,historical,603501,韦尔股份,Technology,risk_on,-0.008734945228,-0.03293978091,0.25,,
position,2025-03-07,2025H1,historical,000001,平安银行,Financials,risk_on,-0.005065427113,-0.01876170845,0.25,,
position,2025-03-07,2025H1,historical,000895,双汇发展,Consumer Staples,risk_on,-0.007578724655,-0.02881489862,0.25,,
position,2025-03-07,2025H1,historical,300548,长芯博创,Technology,risk_on,-0.03111542365,-0.1229616946,0.25,,
position,2025-03-07,2025H1,historical,601766,中国中车,Industrials,risk_on,-0.005283847865,-0.01963539146,0.25,,
position,2025-03-21,2025H1,historical,000999,华润三九,Health Care,risk_on,0.004163878425,0.0186555137,0.25,,
position,2025-03-21,2025H1,historical,002352,顺丰控股,Industrials,risk_on,-0.00827264292,-0.03109057168,0.25,,
position,2025-03-21,2025H1,historical,601857,中国石油,Energy,risk_on,-0.009671194838,-0.03668477935,0.25,,
position,2025-03-21,2025H1,historical,603629,利通电子,Technology,risk_on,-0.05685194722,-0.2254077889,0.25,,
position,2025-04-07,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.03448361064,0.03648361064,1,,
position,2025-04-21,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.01643918308,0.01643918308,1,,
position,2025-05-08,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.009390397616,0.009390397616,1,,
position,2025-05-22,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.0007655739975,0.0007655739975,1,,
position,2025-06-06,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,-0.007037905317,-0.007037905317,1,,
position,2025-06-20,2025H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.027806032,0.027806032,1,,
position,2025-07-01,2025H2,historical,000725,京东方A,Technology,risk_on,-0.002398732343,-0.007594929374,0.25,,
position,2025-07-01,2025H2,historical,002601,龙佰集团,Materials,risk_on,-0.00506758885,-0.0182703554,0.25,,
position,2025-07-01,2025H2,historical,600406,国电南瑞,Industrials,risk_on,-0.005710754512,-0.02084301805,0.25,,
position,2025-07-01,2025H2,historical,600690,海尔智家,Consumer Discretionary,risk_on,0.0005229171367,0.004091668547,0.25,,
position,2025-07-15,2025H2,historical,000333,美的集团,Consumer Discretionary,risk_on,-0.00318115168,-0.01072460672,0.25,,
position,2025-07-15,2025H2,historical,000858,五粮液,Consumer Staples,risk_on,0.00439941498,0.01959765992,0.25,,
position,2025-07-15,2025H2,historical,002049,紫光国微,Technology,risk_on,0.01912045462,0.07848181849,0.25,,
position,2025-07-15,2025H2,historical,601877,正泰电器,Industrials,risk_on,0.006510390263,0.02804156105,0.25,,
position,2025-07-29,2025H2,historical,000895,双汇发展,Consumer Staples,risk_on,0.0008695856578,0.005478342631,0.25,,
position,2025-07-29,2025H2,historical,002415,海康威视,Technology,risk_on,0.008584302175,0.0363372087,0.25,,
position,2025-07-29,2025H2,historical,600026,中远海能,Industrials,risk_on,-0.002759039966,-0.009036159864,0.25,,
position,2025-07-29,2025H2,historical,603658,安图生物,Health Care,risk_on,0.01092228037,0.04568912149,0.25,,
position,2025-08-12,2025H2,historical,600036,招商银行,Financials,risk_on,-0.003646940453,-0.01258776181,0.25,,
position,2025-08-12,2025H2,historical,600436,片仔癀,Health Care,risk_on,0.008808648035,0.03723459214,0.25,,
position,2025-08-12,2025H2,historical,601872,招商轮船,Industrials,risk_on,0.01410769595,0.05843078378,0.25,,
position,2025-08-12,2025H2,historical,603288,海天味业,Consumer Staples,risk_on,0.01119982416,0.04679929665,0.25,,
