variant_id,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,turnover,positive_excess_windows,precision_at_k,portfolio_benchmark_hit_rate,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,top_contributor_name,top_contributor_sector,ranking_id,feature_family,leave_one_name_relative_excess,leave_one_sector_relative_excess,relative_excess_40bps,support_gate_pass
sector_4x1,20,0.9834373253,0.3929238159,0.423938124,-0.229839774,42.5,3,0.48,0.52,0.1015929294,0.6502914952,301308,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.1625472043,-0.1572406882,0.30838503,False
global_top15,20,0.855115375,0.3929238159,0.3318139541,-0.2038764713,35.86666667,2,0.4906666667,0.56,0.04287426752,0.4221442682,002202,Technology,r2_industry_relative_rank,momentum_reversal,0.3048948935,0.1861239238,0.2403267698,False
global_top5,20,0.8301025923,0.3929238159,0.3138569183,-0.3108540128,41,2,0.488,0.48,0.08827312795,0.3705915895,301308,Technology,r2_industry_relative_rank,momentum_reversal,0.1342012586,0.2056019515,0.2109386896,False
global_top10,20,0.8092986569,0.3929238159,0.2989214746,-0.1832871018,37.7,3,0.488,0.56,0.06105092952,0.4106261291,002602,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.2247257328,-0.01277293715,0.2052375538,False
global_top10,20,0.8054758823,0.3929238159,0.2961770498,-0.252252287,38.7,2,0.482,0.56,0.05700840646,0.3477579677,301308,Technology,r2_industry_relative_rank,momentum_reversal,0.1705431017,0.2324758585,0.2003672814,False
global_top3,20,0.7541380011,0.3929238159,0.259320848,-0.2891853459,42.66666667,2,0.4866666667,0.5,0.09856546364,0.6542046713,301308,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.06551932395,-0.1253764678,0.1571301376,False
sector_5x1,20,0.7313496544,0.3929238159,0.2429607668,-0.2298560192,43.2,2,0.504,0.58,0.08759630946,0.4099890761,688521,Technology,r2_industry_relative_rank,current_cn_ohlcv,0.1104691536,-0.000220556555,0.140931731,False
sector_5x1,20,0.6961885465,0.3929238159,0.2177181028,-0.2476841675,40.8,2,0.46,0.52,0.09483421942,0.6550011718,301308,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.03254121545,-0.150326332,0.1225434954,False
global_top15,20,0.6378133658,0.3929238159,0.1758097227,-0.2035980463,37.53333333,2,0.4693333333,0.54,0.04667845668,0.3917921124,002463,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.1279905197,-0.01912266064,0.09131524432,False
global_top5_sector_cap1,20,0.611804406,0.3929238159,0.1571375172,-0.1834903099,42,3,0.46,0.48,0.06935282036,0.4250666083,600438,Materials,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.03783275546,-0.05696170126,0.0645789489,False
global_top5,20,0.6104940345,0.3929238159,0.1561967826,-0.2483866568,40.8,3,0.468,0.5,0.08440960588,0.3976789615,688521,Materials,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.1363924277,-0.04755798223,0.06614709245,False
global_top3,20,0.6088617113,0.3929238159,0.1550249144,-0.3045549095,42.66666667,2,0.4266666667,0.48,0.1006005512,0.5986220231,301308,Technology,r2_industry_relative_rank,momentum_reversal,-0.09911686761,0.3915923637,0.06068672104,False
global_top3,20,0.1765859275,0.3929238159,-0.1553120752,-0.3767458849,44.33333333,1,0.4666666667,0.5,0.08169159509,0.5871436857,688521,Industrials,r2_industry_relative_rank,current_cn_ohlcv,-0.2448760855,0.8795081576,-0.2270946977,False
global_top3,20,0.1070238193,0.3929238159,-0.2052517111,-0.3158527386,43.33333333,1,0.4266666667,0.4,0.08746633091,0.331686178,600438,Materials,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,-0.319635747,-0.4013552506,-0.2713032016,False
