ranking_id,feature_family,window,variant_id,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,turnover,positive_excess_windows,precision_at_k,portfolio_benchmark_hit_rate,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,top_contributor_name,top_contributor_sector
r2_industry_relative_rank,momentum_reversal,2026H1,sector_5x1,20,0.2266711491,-0.007339159856,0.2357404458,-0.1604729549,10.4,1,0.5333333333,0.6666666667,0.08036964578,0.3541164579,300548,Technology
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,sector_5x1,20,-0.06113119425,-0.05456349508,-0.00694673744,-0.05521595931,2,0,0.7,0.5,0.3498158229,0.5206429928,688525,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,sector_3x2,20,0.2014411675,-0.007339159856,0.2103239283,-0.1875249287,9.833333333,1,0.5138888889,0.75,0.08033912215,0.5370689958,300548,Technology
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,sector_3x2,20,-0.2112798986,-0.05456349508,-0.1657608975,-0.09704484333,1.833333333,0,0.4166666667,0,0.3146041289,0.5171397711,600184,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,global_top3,20,-0.03192672087,-0.007339159856,-0.02476934721,-0.2311827869,9.666666667,0,0.4166666667,0.4166666667,0.13377528,0.2262225856,300133,Communication Services
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,global_top3,20,0.1074345382,-0.05456349508,0.1713473432,0,1,1,0.8333333333,1,0.5342310219,0.5342310219,000596,Consumer Staples
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,global_top5,20,0.01540925075,-0.007339159856,0.02291659919,-0.1509936619,10,1,0.4666666667,0.5833333333,0.1124447057,0.2907203051,300133,Communication Services
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,global_top5,20,0.05860554487,-0.05456349508,0.1197003071,-0.002467416092,1.4,1,0.8,1,0.3831971161,0.3831971161,000596,Consumer Staples
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,global_top8,20,0.02982213026,-0.007339159856,0.03743603919,-0.1105645677,9.375,1,0.4791666667,0.6666666667,0.08777091117,0.2976579118,300133,Industrials
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,global_top8,20,0.03937752585,-0.05456349508,0.09936259119,-0.01479215153,1.625,1,0.8125,1,0.2234074808,0.2782642442,000596,Consumer Staples
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,global_top10,20,0.01553371668,-0.007339159856,0.02304198535,-0.1290783997,9.3,1,0.4583333333,0.6666666667,0.07022145303,0.2365689206,300133,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,global_top10,20,0.01711922082,-0.05456349508,0.07581970395,-0.004321493745,1.7,1,0.8,1,0.2117714887,0.2814000193,688525,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,global_top15,20,0.1433893686,-0.007339159856,0.151842928,-0.07736277747,9.2,1,0.4888888889,0.5833333333,0.06778502114,0.4125872388,603629,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,global_top15,20,-0.1184972583,-0.05456349508,-0.0676235399,-0.06891555494,1.733333333,0,0.5666666667,0,0.1495296975,0.4078235736,600184,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,global_top5_sector_cap1,20,0.01540925075,-0.007339159856,0.02291659919,-0.1509936619,10,1,0.4666666667,0.5833333333,0.1124447057,0.2907203051,300133,Communication Services
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,global_top5_sector_cap1,20,0.05860554487,-0.05456349508,0.1197003071,-0.002467416092,1.4,1,0.8,1,0.3831971161,0.3831971161,000596,Consumer Staples
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,global_top5_sector_cap2,20,0.01540925075,-0.007339159856,0.02291659919,-0.1509936619,10,1,0.4666666667,0.5833333333,0.1124447057,0.2907203051,300133,Communication Services
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,global_top5_sector_cap2,20,0.05860554487,-0.05456349508,0.1197003071,-0.002467416092,1.4,1,0.8,1,0.3831971161,0.3831971161,000596,Consumer Staples
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,sector_3x1,20,0.6397462798,-0.007339159856,0.6518696149,-0.216291882,10.66666667,1,0.6388888889,0.75,0.1133259224,0.5493656725,300548,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,sector_3x1,20,-0.1249576208,-0.05456349508,-0.074456746,-0.06546186894,2,0,0.6666666667,0,0.4953123773,0.7697547785,688525,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,sector_4x1,20,0.3074963692,-0.007339159856,0.3171632408,-0.1581468105,10.5,1,0.5208333333,0.6666666667,0.09533416724,0.4267648933,300548,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,sector_4x1,20,-0.04455219007,-0.05456349508,0.01058908236,-0.03370430402,1.75,1,0.75,0.5,0.3653860685,0.5040014923,688525,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,sector_5x1,20,0.1388978268,-0.007339159856,0.1473181783,-0.1437881076,10.2,1,0.4666666667,0.5,0.08389748459,0.3578298388,300548,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,sector_5x1,20,-0.02912269538,-0.05456349508,0.02690905161,-0.03215001264,1.8,1,0.8,0.5,0.3290032691,0.4762639235,688525,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H1,sector_3x2,20,0.1841006129,-0.007339159856,0.1928551677,-0.1875249287,9.833333333,1,0.5138888889,0.6666666667,0.08013827734,0.5462743474,300548,Technology
r4_two_stage_hierarchical_rank,momentum_reversal,2026H2_PARTIAL,sector_3x2,20,-0.2112798986,-0.05456349508,-0.1657608975,-0.09704484333,1.833333333,0,0.4166666667,0,0.3146041289,0.5171397711,600184,Technology
