factor_a,factor_b,rank_correlation
trend_efficiency_60,momentum_10,0.1041131715
trend_efficiency_60,momentum_20,0.1480836472
trend_efficiency_60,momentum_63,0.1784048228
trend_efficiency_60,momentum_126,0.1618105522
trend_efficiency_60,trend_efficiency_20,0.1935921749
trend_efficiency_60,trend_efficiency_60,1
trend_efficiency_60,positive_day_ratio_20,0.07913014127
trend_efficiency_60,positive_day_ratio_60,0.09826662109
trend_efficiency_60,reversal_1,-0.02351577606
trend_efficiency_60,reversal_3,-0.04907686217
trend_efficiency_60,reversal_5,-0.06770874064
trend_efficiency_60,distance_high_20,0.01287140609
trend_efficiency_60,distance_high_60,0.004785264718
trend_efficiency_60,distance_low_20,0.164311438
trend_efficiency_60,price_to_ma20,0.1263007056
trend_efficiency_60,price_to_ma60,0.1908346385
trend_efficiency_60,volume_ratio_5,0.02066002571
trend_efficiency_60,volume_ratio_20,0.06620533456
trend_efficiency_60,amount_ratio_20,0.08167359409
trend_efficiency_60,volume_price_confirmation_20,-0.01486937996
trend_efficiency_60,up_down_volume_ratio_20,0.07280267649
trend_efficiency_60,volatility_10,-0.152550933
trend_efficiency_60,volatility_20,-0.1396204848
trend_efficiency_60,volatility_60,-0.08512410838
trend_efficiency_60,downside_volatility_20,-0.08943173546
trend_efficiency_60,downside_volatility_60,-0.04167383025
trend_efficiency_60,idiosyncratic_volatility_60,-0.08534075098
trend_efficiency_60,intraday_range_20,-0.1520934033
trend_efficiency_60,drawdown_20,0.01287140609
trend_efficiency_60,drawdown_63,0.000540014037
trend_efficiency_60,recovery_from_low_20,0.164311438
trend_efficiency_60,recovery_from_low_63,0.2298581252
trend_efficiency_60,amihud_20,0.03811240188
trend_efficiency_60,amount_stability_20,0.008230199481
trend_efficiency_60,residual_momentum_20,0.1518945516
trend_efficiency_60,residual_momentum_60,0.1804589223
positive_day_ratio_20,momentum_5,0.3182032809
positive_day_ratio_20,momentum_10,0.4336527313
positive_day_ratio_20,momentum_20,0.5961720282
positive_day_ratio_20,momentum_63,0.3178123953
positive_day_ratio_20,momentum_126,0.2593970728
positive_day_ratio_20,trend_efficiency_20,0.04542855366
positive_day_ratio_20,trend_efficiency_60,0.07913014127
positive_day_ratio_20,positive_day_ratio_20,1
positive_day_ratio_20,positive_day_ratio_60,0.5717026229
positive_day_ratio_20,reversal_1,-0.1634872753
positive_day_ratio_20,reversal_3,-0.2556268028
positive_day_ratio_20,reversal_5,-0.3182032809
positive_day_ratio_20,distance_high_20,0.430239636
positive_day_ratio_20,distance_high_60,0.3934333714
positive_day_ratio_20,distance_low_20,0.4892588179
positive_day_ratio_20,price_to_ma20,0.5265280898
positive_day_ratio_20,price_to_ma60,0.481812225
positive_day_ratio_20,volume_ratio_5,0.02042125525
positive_day_ratio_20,volume_ratio_20,0.1005250829
positive_day_ratio_20,amount_ratio_20,0.1613202586
positive_day_ratio_20,volume_price_confirmation_20,-0.0383990681
positive_day_ratio_20,up_down_volume_ratio_20,0.8868802817
positive_day_ratio_20,volatility_10,-0.1214272676
positive_day_ratio_20,volatility_20,-0.08858765685
positive_day_ratio_20,volatility_60,-0.03569193357
positive_day_ratio_20,downside_volatility_20,-0.009034902898
positive_day_ratio_20,downside_volatility_60,-0.02266981611
positive_day_ratio_20,idiosyncratic_volatility_60,-0.0561563945
positive_day_ratio_20,intraday_range_20,-0.1145208246
positive_day_ratio_20,drawdown_20,0.430239636
positive_day_ratio_20,drawdown_63,0.3900552967
positive_day_ratio_20,recovery_from_low_20,0.4892588179
positive_day_ratio_20,recovery_from_low_63,0.4018880069
positive_day_ratio_20,amihud_20,0.03393954565
positive_day_ratio_20,amount_stability_20,-0.03553784693
positive_day_ratio_20,residual_momentum_20,0.5930486122
positive_day_ratio_20,residual_momentum_60,0.3247958803
positive_day_ratio_60,momentum_5,0.1652314686
positive_day_ratio_60,momentum_10,0.2208409718
positive_day_ratio_60,momentum_20,0.3079468127
positive_day_ratio_60,momentum_63,0.5460954633
positive_day_ratio_60,momentum_126,0.4297590396
positive_day_ratio_60,trend_efficiency_20,0.0354954467
positive_day_ratio_60,trend_efficiency_60,0.09826662109
positive_day_ratio_60,positive_day_ratio_20,0.5717026229
positive_day_ratio_60,positive_day_ratio_60,1
positive_day_ratio_60,reversal_1,-0.09270492147
positive_day_ratio_60,reversal_3,-0.1354892077
positive_day_ratio_60,reversal_5,-0.1652314686
positive_day_ratio_60,distance_high_20,0.1745865141
positive_day_ratio_60,distance_high_60,0.3498695489
positive_day_ratio_60,distance_low_20,0.2869531208
positive_day_ratio_60,price_to_ma20,0.2651569461
positive_day_ratio_60,price_to_ma60,0.4727182409
positive_day_ratio_60,volume_ratio_5,0.01367084087
positive_day_ratio_60,volume_ratio_20,0.02959919497
positive_day_ratio_60,amount_ratio_20,0.06297781443
positive_day_ratio_60,volume_price_confirmation_20,0.007147779504
positive_day_ratio_60,up_down_volume_ratio_20,0.4468993218
positive_day_ratio_60,volatility_10,-0.1384431989
positive_day_ratio_60,volatility_20,-0.1306405468
positive_day_ratio_60,volatility_60,-0.09281385602
positive_day_ratio_60,downside_volatility_20,-0.1094889156
positive_day_ratio_60,downside_volatility_60,-0.08007369676
positive_day_ratio_60,idiosyncratic_volatility_60,-0.1515234402
positive_day_ratio_60,intraday_range_20,-0.1636467885
positive_day_ratio_60,drawdown_20,0.1745865141
positive_day_ratio_60,drawdown_63,0.3605534564
positive_day_ratio_60,recovery_from_low_20,0.2869531208
positive_day_ratio_60,recovery_from_low_63,0.4400940929
positive_day_ratio_60,amihud_20,0.06279679792
positive_day_ratio_60,amount_stability_20,0.001227980727
positive_day_ratio_60,residual_momentum_20,0.316142244
positive_day_ratio_60,residual_momentum_60,0.5537506534
reversal_1,momentum_5,-0.3771100724
reversal_1,momentum_10,-0.2575567612
reversal_1,momentum_20,-0.1779437466
reversal_1,momentum_63,-0.09535359248
reversal_1,momentum_126,-0.07660663061
reversal_1,trend_efficiency_20,-0.02918759954
reversal_1,trend_efficiency_60,-0.02351577606
reversal_1,positive_day_ratio_20,-0.1634872753
reversal_1,positive_day_ratio_60,-0.09270492147
reversal_1,reversal_1,1
reversal_1,reversal_3,0.5065877962
reversal_1,reversal_5,0.3771100724
reversal_1,distance_high_20,-0.3541418753
reversal_1,distance_high_60,-0.2254805083
reversal_1,distance_low_20,-0.3066973636
reversal_1,price_to_ma20,-0.3155391316
reversal_1,price_to_ma60,-0.1761716138
reversal_1,volume_ratio_5,-0.223228772
reversal_1,volume_ratio_20,-0.1891295571
reversal_1,amount_ratio_20,-0.2076198149
reversal_1,volume_price_confirmation_20,-0.125124173
reversal_1,up_down_volume_ratio_20,-0.1722761195
reversal_1,volatility_10,-0.003918570049
reversal_1,volatility_20,-0.01206105796
reversal_1,volatility_60,-0.02008911081
reversal_1,downside_volatility_20,-0.07227717222
