symbol,entry_date,exit_date,entry_price,exit_price,return,exit_reasons
002281,2025-06-10,2025-07-09,44.2,47.18,0.06742081447963799,trend_break
300274,2025-06-12,2025-07-15,61.255,72.974,0.19131499469431068,divergence_take_profit
688008,2025-07-22,2025-07-25,83.336,83.026,-0.0037198809638091523,trend_break
301291,2025-07-21,2025-07-28,41.57,40.26,-0.03151311041616556,trend_break
300782,2025-07-01,2025-07-29,71.18,75.8,0.06490587243607737,divergence_take_profit
002594,2025-07-23,2025-08-01,112.347,104.592,-0.06902721033939485,trend_break+hard_stop
002281,2025-08-04,2025-08-08,49.79,50.08,0.005824462743522885,trend_break
002156,2025-06-27,2025-08-11,25.009,26.739,0.06917509696509261,trend_break
300408,2025-07-25,2025-08-15,33.291,41.601,0.24961701360728128,trailing_profit_protection
002594,2025-09-02,2025-09-05,108.432,103.502,-0.04546628301608391,trend_break+hard_stop
002463,2025-09-05,2025-09-09,58.19,58.6,0.007045884172538264,trend_break
688008,2025-09-05,2025-09-09,103.566,109.916,0.06131355850375608,trend_break
002594,2025-09-22,2025-09-24,108.512,104.642,-0.03566425833087594,trend_break
002594,2025-10-10,2025-10-14,110.192,106.322,-0.035120516915928435,trend_break+hard_stop
300548,2025-10-31,2025-11-03,104.23,98.75,-0.05257603377146702,trend_break+hard_stop
002281,2025-10-31,2025-11-04,65.5,61.87,-0.05541984732824434,hard_stop
600150,2025-10-31,2025-11-11,36.045,35.015,-0.028575391871272005,trend_break
002837,2025-11-19,2025-11-24,56.792,53.408,-0.059585857162980704,trend_break+hard_stop
300548,2025-11-24,2025-11-28,106.71,119.72,0.12191922031674629,trailing_profit_protection
002281,2025-12-01,2025-12-12,60.95,66.0,0.08285479901558657,divergence_take_profit
688008,2025-12-10,2025-12-16,121.914,114.114,-0.06397952655150352,trend_break+hard_stop
002463,2025-12-01,2025-12-17,69.15,67.95,-0.017353579175705014,trend_break
002837,2025-11-28,2025-12-22,55.577,71.254,0.2820771182323625,divergence_take_profit+trailing_profit_protection
300548,2025-12-17,2025-12-26,127.07,145.21,0.14275596128118373,trailing_profit_protection
301291,2025-12-16,2026-01-05,42.98,41.34,-0.0381572824569566,trend_break+hard_stop
300782,2025-12-24,2026-01-06,74.23,80.8,0.0885086892092144,trailing_profit_protection
002463,2026-01-07,2026-01-09,72.71,69.66,-0.041947462522349044,trend_break
601899,2025-12-10,2026-01-09,29.8,35.2,0.18120805369127524,divergence_take_profit
688008,2025-12-26,2026-01-09,120.054,130.614,0.0879604178119846,divergence_take_profit
300408,2025-12-12,2026-01-13,44.051,47.121,0.06969194796939915,divergence_take_profit
002594,2026-01-05,2026-01-15,98.042,95.722,-0.023663327961485958,trend_break
002463,2026-01-20,2026-01-21,74.41,70.51,-0.052412310173363674,trend_break+hard_stop
301291,2026-01-09,2026-01-22,44.56,47.92,0.07540394973070019,trailing_profit_protection
300548,2026-02-24,2026-02-26,160.19,157.63,-0.015981022535738854,trend_break
002709,2026-02-25,2026-03-03,42.972,40.992,-0.04607651493996101,hard_stop
002837,2026-03-02,2026-03-04,81.023,77.669,-0.041395653086160666,trend_break
688676,2026-03-02,2026-03-04,97.671,90.331,-0.07515024930634484,trend_break+hard_stop
002463,2026-03-09,2026-03-11,72.5,75.9,0.04689655172413798,trend_break
300274,2026-03-10,2026-03-17,157.305,173.965,0.10590890308636092,divergence_take_profit
300782,2026-03-04,2026-03-18,78.2,77.74,-0.005882352941176561,trend_break
002594,2026-02-26,2026-03-19,91.042,100.632,0.1053359987697986,divergence_take_profit
002281,2026-03-18,2026-03-20,81.0,86.9,0.07283950617283952,trend_break
002709,2026-03-18,2026-03-20,45.512,41.112,-0.09667779926173314,trend_break+hard_stop
300782,2026-03-30,2026-04-01,85.0,81.66,-0.03929411764705881,trend_break+hard_stop
300548,2026-04-01,2026-04-15,158.53,228.57,0.4418091213019617,divergence_take_profit
688183,2026-03-27,2026-04-17,79.406,104.136,0.3114374228647707,divergence_take_profit
600150,2026-04-16,2026-04-28,32.395,38.345,0.1836703194937488,divergence_take_profit
601899,2026-04-13,2026-04-29,32.58,31.75,-0.025475751995089002,trend_break
301291,2026-04-20,2026-05-08,54.47,59.72,0.09638333027354506,trailing_profit_protection
600426,2026-05-06,2026-05-08,29.046,27.6,-0.04978310266473862,trend_break+hard_stop
301291,2026-05-12,2026-05-14,57.32,55.25,-0.03611304954640615,trend_break
688676,2026-05-06,2026-05-18,88.231,93.53,0.06005825616846705,trailing_profit_protection
300274,2026-05-06,2026-05-25,136.995,165.44,0.20763531515748745,divergence_take_profit
688676,2026-05-22,2026-06-01,95.5,100.48,0.05214659685863876,trailing_profit_protection
301291,2026-06-01,2026-06-02,57.68,55.33,-0.040742024965325974,hard_stop
601899,2026-06-23,2026-06-24,29.15,26.61,-0.08713550600343045,trend_break+hard_stop
002281,2026-06-29,2026-06-30,240.34,237.11,-0.013439294333028151,trend_break
603629,2026-06-29,2026-06-30,132.069,124.558,-0.056871786717549,hard_stop
300548,2026-06-29,2026-07-02,261.71,241.04,-0.07898055099155554,trend_break
002837,2026-07-02,2026-07-03,72.0,71.38,-0.008611111111111125,trend_break
601872,2026-07-01,2026-07-03,16.97,17.21,0.014142604596346642,trend_break+hard_stop
688008,2026-06-24,2026-07-03,255.614,261.764,0.02405971503908244,trailing_profit_protection
300782,2026-07-02,2026-07-06,102.78,99.08,-0.03599922163845104,trend_break+hard_stop
002709,2026-06-22,2026-07-07,50.4,48.71,-0.033531746031746024,trend_break
688008,2026-07-06,2026-07-07,276.614,259.314,-0.06254202607243287,trend_break
600150,2026-07-09,2026-07-14,35.625,33.795,-0.05136842105263151,trend_break+hard_stop
300017,2026-07-15,2026-07-20,14.27,13.67,-0.04204625087596359,trend_break+hard_stop
002594,2026-07-09,2026-07-21,86.142,93.572,0.08625293120661248,divergence_take_profit
002594,2026-07-27,2026-08-06,91.962,90.5,-0.015897870859702956,trend_break
600938,2026-07-15,2026-08-06,28.93,30.51,0.05461458693397869,trailing_profit_protection
600026,2026-07-29,2026-08-07,15.77,17.8,0.1287254280279011,divergence_take_profit
301291,2026-07-23,2026-08-17,36.86,39.36,0.06782419967444375,trailing_profit_protection
600150,2026-08-03,2026-08-17,35.02,33.31,-0.04882924043403769,trend_break+hard_stop
300782,2026-08-11,2026-08-19,75.9,79.0,0.04084321475625807,divergence_take_profit
002837,2026-08-17,2026-08-20,57.65,53.44,-0.07302688638334776,trend_break+hard_stop
300548,2026-08-11,2026-08-20,168.44,195.01,0.15774162906672995,divergence_take_profit+trailing_profit_protection
301291,2026-08-19,2026-08-20,40.99,38.11,-0.07026103927787275,trend_break+hard_stop
688008,2026-08-19,2026-08-20,208.01,203.08,-0.023700783616172227,trend_break
688183,2026-08-24,2026-08-25,107.0,100.48,-0.06093457943925229,trend_break+hard_stop
688676,2026-08-11,2026-08-28,69.0,66.11,-0.041884057971014466,trend_break
300782,2026-08-26,2026-09-02,75.64,74.5,-0.015071390798519269,trend_break
002463,2026-08-25,2026-09-04,113.08,118.0,0.04350902016271663,trend_break
600522,2026-08-25,2026-09-04,31.8,33.16,0.042767295597484045,trend_break
